Country/Region;2010;2011;2012;2013;2014;2015;2016;2017
Afghanistan;65.2;66.8;66.0;61.4;59.0;61.3;56.3;56.9
Albania;21.3;22.8;20.6;19.9;18.9;19.5;18.2;18.2
Algeria;33.6;33.8;33.4;34.2;35.6;36.1;39.9;38.9
American Samoa;15.1;15.4;14.3;14.1;13.3;13.0;12.4;12.5
Andorra;12.8;13.3;12.4;11.8;10.8;11.5;10.3;10.3
Angola;33.8;33.1;33.4;34.7;33.0;32.7;31.8;32.4
Antigua and Barbuda;22.5;23.1;21.5;20.7;19.7;19.7;18.5;18.6
Argentina;16.9;17.4;16.1;15.6;14.5;14.6;13.8;13.3
Armenia;37.5;38.6;37.2;34.9;33.1;34.9;32.2;32.5
Aruba;..;..;..;..;..;..;..;..
Australia;10.6;11.0;10.5;10.0;9.5;9.3;8.6;8.6
Austria;15.1;15.6;14.3;14.1;13.4;13.5;12.6;12.5
Azerbaijan;23.0;23.6;22.2;22.3;20.7;21.4;20.2;19.9
Bahamas, The;21.1;21.8;20.3;19.9;18.5;18.9;17.7;17.4
Bahrain;65.6;63.7;70.3;67.8;62.8;72.6;69.9;70.8
Bangladesh;70.8;70.2;70.8;65.6;68.4;67.0;60.1;60.8
Barbados;28.2;29.3;27.0;26.2;25.2;24.7;23.5;23.1
Belarus;23.3;22.9;21.6;20.6;19.8;20.1;18.9;18.8
Belgium;16.0;15.7;14.7;14.0;13.2;13.6;12.8;12.9
Belize;28.3;28.8;27.4;27.3;24.4;25.2;23.1;23.0
Benin;32.4;32.6;32.0;31.4;29.7;40.5;38.4;39.0
Bermuda;14.6;14.8;14.0;13.5;12.8;12.4;11.7;11.6
Bhutan;44.0;43.1;42.9;41.9;40.8;39.8;37.2;37.9
Bolivia;29.6;27.9;26.4;26.1;24.8;22.5;21.4;21.6
Bosnia and Herzegovina;32.3;34.2;31.8;30.4;28.8;29.6;27.6;27.7
Botswana;25.7;24.6;24.9;24.9;24.2;24.3;23.6;23.1
Brazil;16.0;15.9;15.3;14.6;14.0;13.6;12.7;12.7
